cluster,text
0.3.1.0.0.1.1.0.0.0,맥북을 사용 중인데 학교 와이파이로는 줌이 접속이 안됩니다
0.3.1.0.0.1.1.0.1.0,학교에서 고려대 와이파이를 통해 접속을 하려고하면 로그인이 안됩니다
0.3.1.0.0.1.1.1.0.0,헉 학교 와이파이 잡힌 곳만 접속이 안되네요
0.3.1.0.1.0.0.0.0.0,지금 집인데 어제 밤부터 접속이 안되었어요 학교
0.3.1.1.0.0.0.0.0.0,학교 컴퓨터실 마지막 자리에서 접속이 안됩니다
0.3.2.0.0.0.0.0.0.0,메일 접속이 안되는데
0.3.2.1.0.0.0.0.0.0,노트북으로 블랙보드 들어갔을 때 접속이 안되는 경우
0.3.2.1.1.0.0.0.0.0,노트북으로 블랙보드 접속이 안됩니다
0.3.2.2.0.0.0.0.0.0,해당 코스의 콜라보레이트 접속이 안됩니다
0.3.2.2.1.0.0.0.0.0,블랙보드 접속이 안됩니다
0.3.2.2.1.0.0.0.0.0,블랙보드에 접속이 안됩니다
0.3.2.2.1.1.0.0.0.0,따라했는데도 접속이 안됩니다
0.3.2.2.1.2.0.0.0.0,넵 감사합니다 그런데 이거 시도해보아도 접속이 안되는 것 같습니다
0.3.2.2.1.3.0.0.0.0,알려주신 번째 방법으로 했습니다 블랙보드 접속은 가능해졌는데 코스는 여전히 접속이 안되네요
0.3.2.2.1.4.0.0.0.0,재접속이 안되는 것으로 확인됩니다
0.3.2.2.1.5.0.0.0.0,어제는 코스 접속이 안되더니 오늘은 노트북으로 블랙보드 접속이 아예 안됩니다 아이패드나 핸드폰으로는 접속 가능한데 어떻게 해야 할까요
0.3.2.2.1.6.0.0.0.0,접속이 안되네요
0.3.2.2.1.7.0.0.0.0,지금 블랙보드 접속이 안되는데 언제 접속 가능한가요
0.3.2.2.1.8.0.0.0.0,접속해도안된다고하셨어가지구
0.3.2.2.1.9.0.0.0.0,줌 접속이 안되네요
0.3.2.2.2.0.0.0.0.0,블랙보드 뿐만 아니라 portalkoreaackr사이트도 접속이 안됩니다
0.3.2.2.3.0.0.0.0.0,httpsoldkulmskoreaackr 는 외부에서 접속이 안되는거죠
0.3.2.3.0.0.0.0.0.0,사이트 접속이 안되요
0.3.2.3.1.0.0.0.0.0,네 사이트 접속이 안됩니다
0.3.2.3.1.0.0.0.0.0,네 사이트 접속이 안됩니다
0.3.2.4.0.0.0.0.0.0,eduroam에 접속이 안되는데 이유를 모르겠네요
0.3.2.5.0.0.0.0.0.0,그럼 일단 당장은 녹강 확인이 안되시니까 크롬으로 접속한 뒤에 로그인을 koreaackr로 하시고 들어보라고 답변드려볼까요
0.3.2.6.0.0.0.0.0.0,재부팅 하고 줌 접속 했는데 안되시나요
0.3.2.7.0.0.0.0.0.0,접속이 안되고 아래와 같은 창이 뜹니다
0.3.2.8.0.0.0.0.0.0,시분부터 블랙보드에 퀴즈를 보는데 계속 접속 에러가 나서 저장이 안되었다고 합니다
0.3.2.9.0.0.0.0.0.0,그렇다보 보기에는 같은 노트북으로 학교에서는 접속이 잘 되던데요 그리고 로그인이 아니라 사이트 접속 자체가 안됩니다 제가 보기엔 집 공유기 인터넷을 사용하는 모든 기기가 안되는거 같아요 혹시 블랙보드 서버에서 특정 ip주소를 차단하는 경우가 있나요
0.3.3.0.0.0.0.0.0.0,시간 안되면 아예 접속 버튼도 안뜨는거 맞죠
0.3.3.1.0.0.0.0.0.0,안녕하세요 아예 접속이 안되서요 이전에는 열람이 됐었거든요
0.4.0.0.0.0.0.0.0.0,아래의 첨부 파일을 참고하시길 바랍니다 그래도 안되신다면 다시 문의 주세요
0.4.0.1.0.0.0.0.0.0,그래도 안되네요
0.4.0.1.0.1.0.0.0.0,그래도 재생이 안됩니다
0.4.0.1.1.0.0.0.0.0,그래도 콜라보가 안되여 어떻게하죠
0.4.0.2.0.0.0.0.0.0,좀만 더 기다려 주시고 그래도 안되면 연락주시라고
0.4.0.3.0.0.0.0.0.0,그래도 안되신다면 아래 링크를 참고해주시면 감사하겠습니다 콜라보레이트 접속 오류
0.4.1.0.0.0.0.0.0.0,여기 파일 첨부들어가 파일 선택을 하는데 하나밖에 업로드가 안되는거 같드라구여
0.4.1.0.1.0.0.0.0.0,파일 첨부가 안됩니다
0.4.1.1.0.0.0.0.0.0,혹시 파일을 폴더에서 끌고 와도 첨부가 안되실까요
0.5.0.0.0.0.0.0.0.0,포털 아이디 생성햇는데 로그인이 안되여
0.5.1.0.0.0.0.0.0.0,혹시 과제 재제출 안되는지 어떻게 확인하나요
0.5.1.1.0.0.0.0.0.0,아직도 과제 다운로드가 안되나요
0.5.1.1.1.0.0.0.0.0,과제 제출도 안되어서 아이패드로 하고 있습니다
0.5.1.1.1.0.1.0.0.0,제출된 과제 다운로드가 안됨
0.5.1.1.1.0.1.1.0.0,과제 제출 변경은 안되나요
0.5.1.1.1.1.0.0.0.0,과제 채점 중 자꾸 badgate 라고 뜨면서 과제 파일에 접근이 안되는데 어떻게 해야 하나요
0.5.2.0.0.0.0.0.0.0,말그대로 회의를 생성한 호스트만 다운로드가 되서 안되는 거예요
0.5.2.1.0.0.0.0.0.0,혹시 공지사항 생성에서 사진 파일은 업로드 안되는걸까요
0.5.2.1.1.0.0.0.0.0,collaborate에서 세션생성이 안됩니다
0.5.2.1.1.0.1.0.0.0,일 보고서가 생성이 안된것같고
0.5.2.1.1.1.0.0.0.0,과제생성후 삭제했는데 과제항목 제거가 안되고 계속 남아있어요
0.5.2.1.2.0.0.0.0.0,소회의실 개는 생성이 안되는거죠
0.5.2.1.3.0.0.0.0.0,학번만 나오는데 그러면 생성이 아직 안된건가요
0.5.3.0.0.0.0.0.0.0,확인했습니닷 현재 출석자율화 메뉴 자체가 생성이 안되어있네요
0.6.0.0.0.0.0.0.0.0,크롬에서 안되어서 파이어폭스로 했는데도 한번 되더니 그 후로 안돼서 문의 드립니다
0.6.0.1.0.0.0.0.0.0,아하 넵 알려주신대로 해보고 안되면 추가문의 드리도록 하겠습니다 감사합니다
0.6.0.1.1.0.0.0.0.0,이 방법으로도 안되면 크롬 말고 다른 브라우저로 접속시도해보시길 추천드립니다
0.6.0.1.2.0.0.0.0.0,이제 다운로드 받았습니다 매뉴얼대로 해볼께요 안되면 다시 문의드리겠습니다 감사합니다
0.6.0.1.2.1.0.0.0.0,네 해보고 안되면 다시 문의드리겠습니다 감사합니다
0.6.0.1.2.1.1.0.0.0,네 해보시고 안되시면 다시 편하게 문의주세요
0.6.0.1.3.0.0.0.0.0,헉 죄송합니다 번 재시도 해봐도 안되던게 문의시작하고 한번 다시 하니까 되네요
0.6.0.1.4.0.0.0.0.0,크롬말고 다른 브라우저로 들었었는데 혹시 시청이 안된걸로 나올까봐 걱정이 돼서요
0.6.0.1.5.0.0.0.0.0,이 방법으로도 안되시면 다시 한번 문의주세요
0.6.0.1.6.0.0.0.0.0,넵 해보시고 안되면 또 문의주세요
0.6.0.1.7.0.0.0.0.0,아 네네 알겠습니다 다음 주 이후에 조회해보고 안되면 다시 문의드리겠습니다
0.6.1.0.0.0.0.0.0.0,네네 번거롭지만 크롬 브라우저 사용을 추천드립니다 해보시고 안되시면 연락 바랍니다 감사합니다
0.6.1.0.1.0.0.0.0.0,알려주셔서 감사합니다 제가 지금 회의 중이여서 나중에 해보고 안되면 다시 여기로 연락드리겠습니다 도움 주셔서 감사합니다
0.6.1.0.2.0.0.0.0.0,네 혹시 전송이 안되었다면 다시 연락해주시기 바랍니다
0.6.1.0.2.1.0.0.0.0,넵 해보시고 계속 안되시면 다시 연락주세요
0.6.1.0.2.1.1.0.0.0,혹시 안되시면 다시 연락주세요
0.6.1.0.3.0.0.0.0.0,죄송해요 분내내 새로고침 해도 안됐는데 지금 갑자기 됩니다 또 안되면 연락드리겠습니다
0.6.1.0.4.0.0.0.0.0,안되면 연락 바랍니다
0.6.1.0.4.0.0.1.0.0,해보시고 안되시면 연락 바랍니다 감사합니다
0.6.1.0.4.0.1.0.0.0,네네 확인 해보시고 안되시면 연락 바랍니다
0.6.1.0.4.1.0.0.0.0,위 매뉴얼 대로 한번 해보시고 안되시면 연락 바랍니다 감사합니다
0.6.1.0.4.1.1.0.0.0,네 크롬 브라우저로 한번 해보시고 안되면 연락 바랍니다
0.6.1.0.5.0.0.0.0.0,안녕하세요 여전히 코스 확인이 안되어 연락드려요
0.6.1.0.6.0.0.0.0.0,네 다시 해 보고 안되면 연락드리겠습니다
0.6.1.0.7.0.0.0.0.0,네 계속 동일하게 안된다면 다시 연락 주시기 바랍니다
0.6.1.1.0.0.0.0.0.0,혹시나 안되면 제가 원격을 하던 해볼께요
0.6.1.1.1.0.0.0.0.0,링크 확인해보시고 안되시면 말씀 부탁드려요
0.6.1.1.1.0.1.0.0.0,다운로드 안되는 학생의 이름과 과제명을 말씀해주시면 확인해보겠습니다
0.6.1.1.1.1.0.0.0.0,영산쌤도 해보셨는데 안된다고 하시네요
0.6.1.1.1.2.0.0.0.0,확인해보니 저도 재생이 안되어서
0.6.1.1.1.3.0.0.0.0,한번 더 해보시고 안되시면 말씀해주시기 바랍니다
0.6.1.1.2.0.0.0.0.0,왼쪽 맨 위 버튼을 눌러 다시 설정해보려 해도 안되네요
0.6.1.1.3.0.0.0.0.0,하드웨어 가속 비활성화 시도해보고 안되면 보안프로그램 해제해보겠습니다
0.6.1.1.4.0.0.0.0.0,지금 제 구글 드라이브 확인해보니 드라이브 내에서도 재생이 안됩니다
0.6.1.1.5.0.0.0.0.0,그냥 한번해보시고 잘 안되면 네트워크 좋은 곳에서 들으시라고 하면 되지 않을까 싶읍니다
0.6.1.1.6.0.0.0.0.0,모바일로도 해보고 데스크탑으로도 해보는데 둘 다 안됩니다
0.6.1.1.7.0.0.0.0.0,변경 완료했습니다 다시 진행해봐도 줌이 이용이 안되는데 확인가능하실까요
0.7.0.0.0.0.0.0.0.0,청강생 등록이 안되나요
0.7.0.0.1.0.0.0.0.0,청강생으로 등록이 안되는 경우가 있어서
0.7.0.1.0.0.0.0.0.0,안암동 호랭이 쌤 이 분 말씀처럼 같은 학과 학생은 청강생 등록이 안되는 경우가 있나요
0.7.1.0.0.0.0.0.0.0,아 등록이 안되어있다는거죠
0.7.1.0.1.0.0.0.0.0,한 분 정도 밖에 안되었습니다 답변자님 말씀대로 한 주전에 청강 등록되어있던 강의가 안보였는데 이번에 다시 등록하려하니 제 계정만 등록이 안되네요
0.7.1.0.1.1.0.0.0.0,등록 안되어있어요
0.7.1.1.0.0.0.0.0.0,이 학우분만 사용자 등록이 안되시나요
0.7.2.0.0.0.0.0.0.0,블랙보드 코스 내 조교 및 기타 사용자 등록 메뉴 클릭해주세요 이곳에서 학번교번 검색을 통해 학생을 찾은 뒤 학습자로 등록하시면 됩니다 참고 링크 httpskultipskoreaackrfaqfaculty 위와 같은 메뉴얼대로 진행을 하셨는데도 등록이 안되신다는 거죠 같은 학과 학생이라 등록이 안된다는 메세지가 뜬 건가요
0.7.2.1.0.0.0.0.0.0,이 학번으로 등록하시면 안되고 조교 아이디를 등록 해주셔야 됩니다
0.7.2.1.1.0.0.0.0.0,elearning 조교등록 업데이트가 안되신다는데 한번 확인해주세요
0.7.3.0.0.0.0.0.0.0,음 다시 커먼즈에 등록했는데 기존 것과 링크가 연결이 안됩니다
0.7.4.0.0.0.0.0.0.0,아니요 조교로 등록하려는 다른 분도 안되요
0.7.4.1.0.0.0.0.0.0,그냥 조교로 등록이 안된거 아니에여
0.7.5.1.1.1.1.1.1.1,블랙보드에서 년 법적 의무 및 교내 권장 교육 분반 등록하기 등록이 안됩니다
0.7.5.1.1.1.1.1.1.1,블랙보드에서 년 법적 의무 및 교내 권장 교육 분반 등록하기 등록이 안됩니다
0.7.6.0.0.0.0.0.0.0,선생님 같은 학과 학생이라서 등록이 안된 경우는 이번 학기 들어서 없어서
0.7.7.0.0.0.0.0.0.0,김현정 학생은 등록은 안된 것으로 보입니다
0.7.8.0.0.0.0.0.0.0,안암동 호랭이 어제 사용자 등록이 잘 안된거 같네요
0.7.9.0.0.0.0.0.0.0,원격교육센터에서 등록은 안되는건가요
0.8.0.0.0.0.0.0.0.0,크롬에서만 안되고 엣지에서는 잘 작동합니다
0.8.0.0.0.1.0.0.0.0,줌 승인이 잘 안됩니다
0.8.0.0.0.1.1.0.0.0,잘 안되는 경우가 많습니다
0.8.0.0.0.1.1.1.0.0,잘 안되셨을 까요
0.8.0.0.0.2.0.0.0.0,숙제를 조교만 채점하도록 셋팅하고 싶은데 잘 안됩니다
0.8.0.0.0.3.0.0.0.0,v 종료가 안되네요 작업관리자로 해도 잘 안됩니다
0.8.0.0.1.0.0.0.0.0,혹시 가운데의 ku를 소문자로 바꾸어서 입력해도 로그인이 안되시나요
0.8.0.0.1.1.0.0.0.0,네 혹시 가운데의 ku를 소문자로 바꾸어서 입력해도 로그인이 안되시나요
0.8.0.0.2.0.0.0.0.0,구성원인데 인증이 안되어요
0.8.0.0.2.1.0.0.0.0,ku 줌 인증하기가 안됩니다
0.8.0.0.2.1.1.0.0.0,줌 인증이 안되신다고 합니다
0.8.0.0.2.2.0.0.0.0,아무래도 고려대학교 인증이 안되는 것 같습니다
0.8.0.0.2.3.0.0.0.0,안녕하세요 고대에서 강의하는 강사인데 ku zoom 인증을 하였는데도 강의 개설을 하면 분 밖에 안되서 인증이 안된 것 같은데 sso로도 다 해봤는데도 쭘 강의가 분밖에 안되네요 어떻게 해결해야 할까요
0.8.0.0.3.1.1.1.1.1,혹시 여전히 잘 안되시나요
0.8.0.0.3.1.1.1.1.1,혹시 여전히 잘 안되시나요
0.8.0.0.4.0.0.0.0.0,재설치 해도 안되네요
0.8.0.0.5.0.0.0.0.0,안녕하세요 교번 kupid id psyou 입니다 ku zoom 인증이 잘안되는데요 홈페이지에 올라온대로 따라하면 메일보내서 인증하는게 나오지않습니다
0.8.0.0.5.0.1.0.0.0,ku zoom인증하기를 따라해도 잘 안되네요
0.8.0.0.5.1.0.0.0.0,ku zoom 가입이 안되네요
0.8.0.1.0.0.0.0.0.0,삭제는 안되는거죠
0.8.0.1.0.0.0.0.1.0,댓글 삭제가 안됩니다
0.8.0.1.0.0.0.1.0.0,게시물 삭제가 안됨
0.8.0.1.0.0.1.0.0.0,그냥 삭제하는 것 만으로는 안된다고 알고 있습니다만
0.8.0.1.0.1.0.0.0.0,그림은 안되는거고 텍스트만 된다는 말씀이지요
0.8.0.1.0.1.0.1.0.0,안드로이드로 아예 안된다는 말씀이실까요
0.8.0.1.0.1.0.1.1.0,프로그램 실행이 아예 안되시나요
0.8.0.1.0.1.1.0.0.0,걍 링크 보고 오라고 해주면 안되는걸까
0.8.0.1.0.2.0.0.0.0,이 메뉴얼은 안되는건가요
0.8.0.1.0.2.0.0.1.0,업로드가안된건가요
0.8.0.1.0.2.0.1.0.0,블랙보드 내 코스페이지에서 강의계획서 열람이 안된다는 말씀이신가요
0.8.0.1.0.2.0.1.0.0,버튼은 존재하는데 클릭이 안된다는 말씀이신가요
0.8.0.1.0.2.0.1.0.0,블랙보드에서 줌 메뉴 활성화가 안된다는 말씀이신가요
0.8.0.1.0.2.0.1.0.1,카메라를 켜는 것 자체가 안된다는 말씀이신가요
0.8.0.1.0.2.0.1.1.0,콘텐츠 목록에서 삭제하셨는데도 용량이 리프레시가 안된다는 말씀이신가요
0.8.0.1.0.2.1.0.0.0,현재 메뉴가 오픈이 안되어 있습니다
0.8.0.1.0.2.1.0.0.1,assignment tests 메뉴에 답안 업로드가 안됩니다
0.8.0.1.0.2.1.0.1.0,네네 메뉴공개가 안된 게 맞습니다
0.8.0.1.0.2.1.1.0.0,공지 화면으로 넘어가면서 인권과 성평등 교육 메뉴가 클릭이 안됩니다
0.8.0.1.0.3.0.0.0.0,내 컴퓨터탐색을 눌러도 탐색이안되요
0.8.0.1.0.3.1.0.0.0,학점 부여는 안되므로 성적 처리란에 청강생 이름이 보이지 않습니다
0.8.0.1.0.3.1.1.0.0,안되신대요
0.8.0.1.0.3.1.2.0.0,아이폰이나 아이패드에서는 되고 컴퓨터에서만 안됩니다
0.8.0.1.0.3.1.2.1.0,모든 컴퓨터랑 휴대폰에서 안됩니다
0.8.0.1.0.3.1.2.1.1,에서 넘어가는 모든 연결이 안됩니다
0.8.0.1.0.3.1.3.0.0,제가 제어가 잘안되서
0.8.0.1.0.3.1.3.0.1,제가 제어가 안되서
0.8.0.1.0.3.1.3.1.0,마우스 제어가 안되서
0.8.0.1.0.3.1.4.0.0,바로는 안되어도 하루이틀 지나면 재생이 됐었습니다
0.8.0.1.0.3.1.4.1.0,오늘 목요일까지 재생이 안된 경우는
0.8.0.1.0.3.1.4.1.1,강의 재생이 안됩니다
0.8.0.1.0.3.1.4.2.0,재시작해도 똑같은 창이 뜨면서 재생이 안됩니다
0.8.0.1.0.3.1.4.3.0,재생이 매번 안되는데 해결책이 있나 궁금합니다 크롬 엣지 바꿔도 안되고
0.8.0.1.0.3.1.5.0.0,네 시 이후는 안되는거죠
0.8.0.1.0.3.1.5.1.0,네 안됩니다
0.8.0.1.0.3.1.5.1.0,네 안됩니다
0.8.0.1.0.3.1.5.1.1,네 핸드폰으로는 안되나요
0.8.0.1.0.3.1.6.0.0,print 밖에 안되는거 맞나용
0.8.0.1.0.3.1.6.1.0,포럼 자체에서는 게시글 작성이 안되는거죠
0.8.0.1.0.3.1.6.1.0,저 글이 답변이 안되어서
0.8.0.1.0.3.1.6.1.1,녹강 학습완료 버튼이 클릭이 안되는데 출석 인정이 되나요
0.8.0.1.0.3.1.6.1.1,강의를 듣는데 학습종료 키가 안눌려져서 인정이 안되네요
0.8.0.1.0.3.1.6.1.2,둘다 업데이트가 안되네요
0.8.0.1.0.3.1.6.1.3,하시다가 안되시면 다시 말씀해주세요
0.8.0.1.0.3.1.6.1.3,네 둘다 맞습니다 다운로드가 안됩니다
0.8.0.1.0.3.1.6.1.3,하다가 중간에 안되시면 언제든지 편하게 말씀해주세요
0.8.0.1.0.3.1.6.1.3,아래의 것도 안되네요
0.8.0.1.0.3.1.6.1.3,안된다고
0.8.0.1.0.3.1.6.1.3,안된다구햇쟈나
0.8.0.1.0.3.1.6.1.3,그 앞뒤로 공백이 있으면 검색안되는 경우가 있어서
0.8.0.1.0.3.1.6.1.3,현재 입력이 안된 것으로 보입니다
0.8.0.1.0.3.1.6.1.3,모바일로는 출석체크도 안되나요
0.8.0.1.0.3.1.6.1.3,블랙보드에 표시가 안됩니다
0.8.0.1.0.3.1.6.1.3,sign 이 안되요
0.8.0.1.0.3.1.6.1.3,회의가 시작이 안됩니다
0.8.0.1.0.3.1.6.1.3,줌이 분도 안되서 계속 나가지는데요
0.8.0.1.0.3.1.6.1.3,공개가 안되는 것으로 보입니다
0.8.0.1.0.3.1.6.1.3,아마 지금 청강생 입력이 안되는 이유는
0.8.0.1.0.3.1.6.1.3,아까 그 퀴즈는 성적에 포함은 안되지만
0.8.0.1.0.3.1.6.1.3,출석부가 반영이 안됩니다
0.8.0.1.0.3.1.6.1.3,항목개설후 제거가 안되네요
0.8.0.1.0.3.1.6.1.3,버튼확인이안되네요
0.8.0.1.0.3.1.6.1.3,기본 이라고 뜨는데 사용허가가 안된거죠
0.8.0.1.0.3.1.6.1.3,그런데 다운이 안되네요
0.8.0.1.0.3.1.6.1.3,어제 새벽부터 안되었던 이유가 있을까요
0.8.0.1.0.3.1.6.1.3,안되네요
0.8.0.1.0.3.1.6.1.3,이번에 안되면
0.8.0.1.0.3.1.6.1.3,토론방 게시가 안됩니다
0.8.0.1.0.3.1.6.1.3,락다운 브라우저가 안되는 학생들을 위해
0.8.0.1.0.3.1.6.1.3,디바이스 선택에서 변경을 해도 안되시는 건가요
0.8.0.1.0.3.1.6.1.3,네 그쪽에서도 확인 안됩니다
0.8.0.1.0.3.1.6.1.3,마이크는 여전히 안되네요
0.8.0.1.0.3.1.6.1.3,아 익명 밖에 안되는군요
0.8.0.1.0.3.1.6.1.3,다운로드가 안됩니다 오류 뜹니다
0.8.0.1.0.3.1.6.1.3,핸드폰으로는 되는데 노트북으로는 안됩니다
0.8.0.1.0.3.1.6.1.3,안되구요
0.8.0.1.0.3.1.6.1.3,보내주신 프로그램도 실행이 안되네요
0.8.0.1.0.3.1.6.1.3,해봤는데 안되네요
0.8.0.1.0.3.1.6.1.3,아 음 네네 hd까지는 봤었는데 학교 계정으로는 안되는군요 알겠습니다 감사합니다
0.8.0.1.0.3.1.6.1.3,안된다고 합시다
0.8.0.1.0.3.1.6.1.3,잘안되는데
0.8.0.1.0.3.1.6.1.3,시간 입력이 안됩니다
0.8.0.1.0.3.1.6.1.3,안되네요 로컬파일로도
0.8.0.1.0.3.1.6.1.3,그림파일이 삽입이안되네요
